episode,alpha = 0.9,alpha = 0.7,alpha = 0.5
0.0,6.554591984584671,0.0,1.4499279439761865
1.0,7.9921679498894145,0.0,1.601324587688563
2.0,9.594961715268315,0.0,1.1936494826419939
3.0,12.22889826451585,0.0,0.8803468218151838
4.0,14.257996322179622,0.0,0.6745430007882426
5.0,16.65313244154833,0.0,0.37913528908841143
6.0,18.037239813240266,0.0,0.0
7.0,20.54579698257396,0.0,0.0
8.0,22.10703003389495,0.0,0.0
9.0,23.788062012450915,0.0,0.0
10.0,24.86171451814006,0.0,0.0
11.0,25.22062262940921,0.0,0.0
12.0,23.681548161497375,0.0,0.0
13.0,21.99815241173423,0.0,0.0
14.0,20.181340954887546,0.0,0.0
15.0,18.334059015616326,0.0,0.0
16.0,14.546802043399076,0.0,0.0
17.0,11.026865914613667,0.0,0.0
18.0,7.234080214033353,0.0,0.0
19.0,4.990930306185724,0.2575309897573944,0.0
20.0,3.5038993214620904,0.7067796545311027,0.0
21.0,2.963061135746231,1.695475468737137,0.0
22.0,3.50040070710316,3.537698481734697,0.0
23.0,4.237991925932001,3.456562717826737,0.0
24.0,4.180228391052864,3.470027525562378,0.0
25.0,4.322228104574258,5.022802616388983,0.0
26.0,4.359673539739262,5.13242533009224,0.0
27.0,5.488409426434722,5.980816206048943,0.0
28.0,4.836297961199828,7.0794832823561515,0.0
29.0,3.6085839419469434,6.500492559286384,0.0
30.0,3.081385342463793,4.793753319724671,0.0
31.0,1.7020942819319667,2.978050650640496,0.0
32.0,0.09981837650966813,2.4103874560092415,0.0
33.0,0.0,0.7109991606325266,0.0
34.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0
41.0,0.0,0.025004850780508903,0.0
42.0,0.0,1.6871524913208966,0.0
43.0,0.0,3.492782815051259,0.0
44.0,0.0,5.609187949476862,0.0
45.0,0.0,8.807569739384615,0.0
46.0,0.0,11.073991884810699,0.0
47.0,0.0,12.800472381085164,0.0
48.0,0.0,13.35874589055634,0.0
49.0,0.0,14.091082005822509,0.0
50.0,1.2569531733392452,15.457727190966985,0.0
51.0,3.4140137923822396,16.84904846955169,0.0
52.0,5.263593164067644,16.58575795810501,0.0
53.0,7.302178376156213,14.48112028202975,0.0
54.0,8.456288954091477,11.626077820597889,0.0
55.0,9.402563829423697,9.65199488455789,0.0
56.0,10.290782108230326,7.571757182595071,0.0
57.0,11.069382732531103,5.614778177946197,0.0
58.0,12.65705091634534,3.686676632749456,0.0
